Post,Company,Experience,Level,Salary,Deadline
Government Liaison Engineer,Build up Nepal,More than 7 years,Senior Level,Not Disclosed,2026-02-17
Multimedia Officer,Global College,More than or equal to 3 years,Mid Level,Not Disclosed,2026-02-17
Operations Officer,Invest for Impact Nepal,More than 5 years,Mid Level,Not Disclosed,2026-02-17
SEO Expert,Ghothane Lawyers,More than 1 year,Mid Level,Not Disclosed,2026-02-17
Sales Officer,Evo Beverages,More than 4 years,Mid Level,Not Disclosed,2026-02-17
Matron,A Hospital,More than 10 years,Senior Level,"NRs. 80,000 - 100,000 Monthly",2026-02-17
Sales Officer,Nepal Pulp & Paper Industries,More than 2 years,Mid Level,Not Disclosed,2026-02-17
Sales Executive,Prosetech Solutions,Not Required,Entry Level,"NRs. 20,000 Monthly",2026-02-17
Interior Design,Padma Jyoti Group,More than 1 year,Mid Level,Not Disclosed,2026-02-17
Finance Executive,Hexamatics Nepal,More than 5 years,Senior Level,"NRs. 60,000 - 70,000 Monthly",2026-02-17
Operations Officer,Invest For Impact Nepal,More than 5 years,Mid Level,Not Disclosed,2026-02-17
Full-Stack Developer,River Group,More than 4 years,Mid Level,Not Disclosed,2026-02-18
Intern - Public Relations (PR) and Client Handling,The Nimto,Not Required,Entry Level,Not Disclosed,2026-02-18
Full Stack Developer,Audit Partnership,More than 2 years,Mid Level,Not Disclosed,2026-02-18
Interior Architect Coordinator,IEC College of Art and Fashion,More than 3 years,Mid Level,Not Disclosed,2026-02-18
Admission Counselor,IEC College of Art and Fashion,More than 2 years,Mid Level,Not Disclosed,2026-02-18
Architect / Interior Designer - Lecturer,IEC College of Art and Fashion,More than 3 years,Mid Level,Not Disclosed,2026-02-18
Site Engineer - Jajarkot & Rukum West,Build up Nepal,More than 2 years,Mid Level,Not Disclosed,2026-02-18
Marketing Executive,Prabhu Mahalaxmi Life Insurance,More than 2 years,Mid Level,Not Disclosed,2026-02-19
Counselor - Australia,Mirai Global Education and Visa Services,More than 2 years,Mid Level,"NRs. 55,000 - 70,000 Monthly",2026-02-19
Social Media Handler,Rojgari Services,Equal to 1 year,Entry Level,"NRs. 22,000 Monthly",2026-02-19
Supervisor,Radiance Beauty Solution,More than 5 years,Senior Level,"NRs. 50,000 Monthly",2026-02-19
Accountant,Himalayan Craft House,More than 1 year,Mid Level,"NRs. 30,000 Monthly",2026-02-19
Quality Control Officer,Agro Thai Foods,Equal to 1 year,Mid Level,Not Disclosed,2026-02-19
Operators – Blow Moulding and Labellar,Agro Thai Foods,More than 3 years,Mid Level,Not Disclosed,2026-02-19
"Graphic, Video & Motion Designer",A Hospital,More than 2 years,Entry Level,"NRs. 25,000 - 35,000 Monthly",2026-02-20
Front Desk Officer,Autism Care Nepal Society,More than 1 year,Mid Level,Not Disclosed,2026-02-20
Senior QA Engineer,Innovate Tech,More than 5 years,Senior Level,Not Disclosed,2026-02-20
DevOps Engineer,Innovate Tech,More than 1 year,Mid Level,"NRs. 75,000 - 80,000 Monthly",2026-02-20
Android Developer,Innovate Tech,More than 3 years,Mid Level,"NRs. 75,000 - 80,000 Monthly",2026-02-20
Senior Product Designer,Innovate Tech,More than 5 years,Senior Level,"NRs. 150,000 - 200,000 Monthly",2026-02-20
Mid-Level Frontend Developer,Innovate Tech,More than 2 years,Mid Level,"NRs. 55,000 - 65,000 Monthly",2026-02-20
Marketing Manager / Assistant Manager,"Soaltee Kathmandu, Autograph Collection Hotel",More than 5 years,Senior Level,Not Disclosed,2026-02-20
Frontend Developer,Innovate Tech,More than 2 years,Mid Level,Not Disclosed,2026-02-20
Maintenance Fitters,Agro Thai Foods,Equal to 1 year,Mid Level,Not Disclosed,2026-02-20
Agriculture Technical Officer – Regenerative Agriculture and Permaculture,Volunteers Initiative Nepal (VIN),More than 5 years,Senior Level,"NRs. 50,000 - 70,000 Monthly",2026-02-20
Technical Lead Officer,CTEX Import & Export,More than 1 year,Mid Level,Not Disclosed,2026-02-21
Middle School Mathematics Teacher,Ace School,More than 3 years,Mid Level,Not Disclosed,2026-02-21
Store Keeper,Agro Thai Foods,Equal to 1 year,Entry Level,Not Disclosed,2026-02-21
Electricians,Agro Thai Foods,More than 1 year,Mid Level,Not Disclosed,2026-02-21
Shrink Wrap / Case Packer Operators,Agro Thai Foods,Equal to 1 year,Entry Level,"NRs. 35,000 - 40,000 Monthly",2026-02-21
Engineer,Agro Thai Foods,Equal to 1 year,Entry Level,Not Disclosed,2026-02-21
Depalletizer Operator,Agro Thai Foods,Equal to 1 year,Entry Level,Not Disclosed,2026-02-21
Assistant General Manager-Operations,Professional Holdings Limited (PHL),More than 5 years,Senior Level,Not Disclosed,2026-02-21
Account Officer,Friendship Auto Parts,More than 2 years,Mid Level,"NRs. 20,000 Monthly",2026-02-21
Chief Technical Officer,CTEX Import & Export,More than 1 year,Mid Level,Not Disclosed,2026-02-21
Electrical Engineer,CTEX Import & Export,More than 1 year,Mid Level,Not Disclosed,2026-02-21
Project Coordinator,The Oda Foundation,More than 1 year,Senior Level,Not Disclosed,2026-02-22
Education Counselor,Ignite Education V.I.C.,More than 1 year,Mid Level,"NRs. 50,000 Monthly",2026-02-22
Application and Visa Officer,Ignite Education V.I.C.,More than 1 year,Mid Level,"NRs. 50,000 Monthly",2026-02-22
Property Sales and Lettings Officer,UK Sansar Estate Agency,More than 3 years,Mid Level,"NRs. 40,000 - 70,000 Monthly",2026-02-23
Counselor - Europe,CSCGlobal,More than 1 year,Mid Level,Not Disclosed,2026-02-23
HR / Admin Coordinator,Euro School Hattigauda,More than 3 years,Mid Level,Not Disclosed,2026-02-23
Business Development Executive,Rycon Group,More than 3 years,Mid Level,"NRs. 30,000 - 50,000 Monthly",2026-02-23
Counselor,Future Hub Asia Pacific,More than 2 years,Mid Level,"NRs. 30,000 Monthly",2026-02-23
Front Desk Officer,Future Hub Asia Pacific,Less than 1 year,Entry Level,Not Disclosed,2026-02-23
Head – Digital Operations Department,Himalayan Everest Insurance,More than 8 years,Senior Level,Not Disclosed,2026-02-23
Senior Sales Executive,Shivam Shyam International,More than 2 years,Mid Level,Not Disclosed,2026-02-23
Teacher,ASK Enlightenment,More than 1 year,Mid Level,"NRs. 50,000 Monthly",2026-02-23
Admission Counselor,IEC College of Art and Fashion,More than 2 years,Mid Level,"NRs. 50,000 - 60,000 Monthly",2026-02-23
Architect / Interior Designer - Lecturer,IEC College of Art and Fashion,More than 3 years,Mid Level,Not Disclosed,2026-02-23
National Sales Coordinator (Mobile Phone),ZTE Nepal,More than 5 years,Senior Level,Not Disclosed,2026-02-23
Area Sales Coordinator (Mobile Phone),ZTE Nepal,Less than 2 years,Mid Level,Not Disclosed,2026-02-23
Marketing Officer,Gabionet Environment Solution,More than 3 years,Mid Level,"NRs. 20,000 - 25,000 Monthly",2026-02-24
Enterprise Support Representative( VAS),WorldLink Communications,More than 1 year,Entry Level,"NRs. 25,000 - 30,000 Monthly",2026-02-24
Enterprise Support Representative ( L1),WorldLink Communications,More than 1 year,Entry Level,"NRs. 25,000 - 30,000 Monthly",2026-02-24
Academic Writing Officer,Thakur International,More than 1 year,Mid Level,"NRs. 30,000 - 40,000 Monthly",2026-02-24
Accounts Officer,DAV Sushil Kedia Vishwa Bharati School,More than 3 years,Mid Level,Not Disclosed,2026-02-24
Social Media and Marketing Associate,Carpet Exporter,More than 1 year,Mid Level,"NRs. 25,000 Monthly",2026-02-24
Marketing and Brand Strategist,Carpet Exporter,More than 2 years,Mid Level,"NRs. 30,000 - 40,000 Monthly",2026-02-24
Trek and Adventure Manager,Gurkha Encounters,More than 4 years,Senior Level,Not Disclosed,2026-02-24
Tour Officer,Dharma Adventures,More than 2 years,Mid Level,Not Disclosed,2026-02-24
Client Relation Executive,Merojob,Equal to 1 year,Mid Level,"NRs. 22,000 Monthly",2026-02-24
Test Administrator,Alfa Beta Institute,Less than 1 year,Entry Level,"NRs. 22,000 - 25,000 Monthly",2026-02-24
Accounts Officer,Brihat Group,More than 2 years,Mid Level,"NRs. 20,000 - 35,000 Monthly",2026-02-24
Asst. Handicraft Factory Manager,Felt and Yarn,More than 3 years,Mid Level,"NRs. 25,000 - 40,000 Monthly",2026-02-25
Roof Innovation Lead - Architect / Engineer,Build up Nepal,More than 5 years,Mid Level,Not Disclosed,2026-02-25
Preschool Teacher,Sano Paila Daycare and Early Learning Center,More than 1 year,Entry Level,"NRs. 20,000 - 25,000 Monthly",2026-02-25
Education and Visa Counselor,Kharel Law Group,More than 1 year,Mid Level,Not Disclosed,2026-02-25
Asstistant Handicraft Factory Manager,Felt and Yarn,More than 3 years,Mid Level,"NRs. 25,000 - 40,000 Monthly",2026-02-25
Cloud Specialist,Simjung,More than 1 year,Mid Level,Not Disclosed,2026-02-25
Junior Trainee Assistant,Jyoti Bikash Bank,Not Required,Entry Level,Not Disclosed,2026-02-25
Cloud Specialist (Microsoft),Simjung,More than 1 year,Senior Level,Not Disclosed,2026-02-25
HR / Admin Coordinator,Euro School Hattigauda,More than 3 years,Mid Level,Not Disclosed,2026-02-25
Admission Counselor,IEC College of Art and Fashion,More than 2 years,Mid Level,"NRs. 50,000 - 60,000 Monthly",2026-02-25
Architect / Interior Designer - Lecturer,IEC College of Art and Fashion,More than 3 years,Mid Level,Not Disclosed,2026-02-25
Architect,RS Building Design,More than 3 years,Mid Level,Not Disclosed,2026-02-26
Sales Executive (For UK),Same Day Courier,Not Required,Entry Level,"NRs. 100,000 - 120,000 Monthly",2026-02-26
Study Abroad Counselor,The Metaphor Consultancy - IEC Group,More than 3 years,Mid Level,Not Disclosed,2026-02-26
Senior Chemical Engineer – Refinery Operations,Precious Waste Refinery,More than 5 years,Senior Level,Not Disclosed,2026-02-26
Quality Department Staff – Food Technology,New Hope Agro Business Nepal,More than 2 years,Senior Level,Not Disclosed,2026-02-26
Procurement and Sales Support Officer,New Hope Agro Business Nepal,More than 3 years,Senior Level,Not Disclosed,2026-02-26
Marketing / Sales Officer,Goyal Metal Industries,More than 2 years,Mid Level,Not Disclosed,2026-02-26
Sales and Marketing Associate,Arete Viva SEO,More than 1 year,Mid Level,Not Disclosed,2026-02-26
Pre School Teacher,Millsberry School,More than 1 year,Mid Level,Not Disclosed,2026-02-26
Assistant Teacher,Millsberry School,More than 1 year,Mid Level,Not Disclosed,2026-02-26
Document Controller / Assistant Secretary,Naukri Nepal Recruitment Service,More than 1 year,Entry Level,Not Disclosed,2026-02-26
Trainee – Health Programme (S2HSS II and S2GESI),GIZ,More than 1 year,Mid Level,Not Disclosed,2026-02-26
GEDSI Technical Advisor,GIZ,More than 7 years,Senior Level,Not Disclosed,2026-02-26
Quality Control – Food Technology,New Hope Agro Business Nepal,More than 2 years,Senior Level,Not Disclosed,2026-02-26
Pre-School Teacher,Millsberry School,More than 1 year,Mid Level,Not Disclosed,2026-02-26
Procurement Officer,New Hope Agro Business Nepal,More than 3 years,Senior Level,Not Disclosed,2026-02-26
Counselor (South Korea),SD Miracle Educational Consultancy,More than 1 year,Mid Level,Not Disclosed,2026-02-27
Full Stack Developer (AI-Assisted Development),Simjung,More than 1 year,Mid Level,Not Disclosed,2026-02-27
Production Manager,Pepe Icecream and Dairy,More than 3 years,Mid Level,"NRs. 70,000 - 80,000 Monthly",2026-02-27
Lab Technician,Pepe Icecream and Dairy,Equal to 1 year,Entry Level,"NRs. 22,000 - 25,000 Monthly",2026-02-27
Digital / Client Relations Executive,Popeye Studios,More than 2 years,Mid Level,"NRs. 25,000 - 35,000 Monthly",2026-02-27
Sales and Marketing Executive,HMC,More than 2 years,Mid Level,Not Disclosed,2026-02-27
Senior Business Development Manager,JSS Life Science,More than 8 years,Senior Level,Not Disclosed,2026-02-27
Sales and Marketing Executive,HMC Nepal,More than 2 years,Mid Level,"NRs. 25,000 - 45,000 Monthly",2026-02-27
Accountant,JJ Marble,More than 2 years,Mid Level,"NRs. 25,000 Monthly",2026-02-27
Operations In-Charge,Sterling Wells,More than 1 year,Mid Level,Not Disclosed,2026-02-28
Social Media Manager,Mountain River Films,More than 3 years,Mid Level,Not Disclosed,2026-02-28
Distributor Salesman (DS Level),Agro Thai Foods,Equal to 1 year,Entry Level,Not Disclosed,2026-02-28
System and Network Administrator,Endeavor Nepal,More than 3 years,Mid Level,Not Disclosed,2026-02-28
Sr. Civil Project Manager - High Rise Projects,RV Group,More than 15 years,Top Level,Not Disclosed,2026-02-28
Sales and Marketing Officer,RV Group,More than 3 years,Senior Level,Not Disclosed,2026-02-28
Sales and Marketing Manager - Real Estate,RV Group,More than 8 years,Senior Level,Not Disclosed,2026-02-28
Montessori Teacher,International Pre-School,More than 2 years,Entry Level,Not Disclosed,2026-02-28
Social Mobilizer / Sales Officer,Build up Nepal,More than 3 years,Mid Level,"NRs. 35,000 - 50,000 Monthly",2026-02-28
Vice Principal,Valley View School,More than 5 years,Senior Level,Not Disclosed,2026-02-28
Vice Principal (VP),Global School of Science,More than 5 years,Senior Level,Not Disclosed,2026-02-28
Compliance Officer,Trust Nepal Overseas,Not Required,Entry Level,"NRs. 25,000 Monthly",2026-02-28
Motion Graphics Designer,Mountain River Films,More than 3 years,Mid Level,Not Disclosed,2026-02-28
Vice Principal,Global School of Science,More than 5 years,Senior Level,Not Disclosed,2026-02-28
Social Media Executive,Green Life Experience,More than 1 year,Mid Level,"NRs. 20,000 - 25,000 Monthly",2026-02-28
Full Stack Developer,Audit Partnership,More than 2 years,Mid Level,Not Disclosed,2026-02-28
Teacher,Dolpo Tomorrow,More than 2 years,Mid Level,"NRs. 30,000 - 40,000 Monthly",2026-03-02
Front Desk Officer,IEC College of Art and Fashion,More than 1 year,Mid Level,Not Disclosed,2026-03-03
Videographer Faculty,IEC School of Analytics,More than 2 years,Mid Level,Not Disclosed,2026-03-03
Senior Accountant,Precious Waste Refinery,Not Required,Senior Level,Not Disclosed,2026-03-03
Liaison Officer,Executive Search- Merojob,More than 1 year,Entry Level,"NRs. 25,000 - 30,000 Monthly",2026-03-03
UK Counselor,An Educational Consultancy,More than 2 years,Mid Level,Not Disclosed,2026-03-03
Business Developement Executive,Construction Material and Equipment Company,More than 3 years,Mid Level,"NRs. 30,000 - 60,000 Monthly",2026-03-03
GoHighLevel CRM and Web Developer,ZenNepal,More than 1 year,Mid Level,"NRs. 35,000 - 55,000 Monthly",2026-03-03
Resort Operations Executive,Chyomuthang Resort,More than 1 year,Mid Level,Not Disclosed,2026-03-03
Middle School Mathematics Teacher,Ace School,More than 3 years,Mid Level,Not Disclosed,2026-03-03
Client Relations Associate,Carpet Exporter,More than 1 year,Mid Level,"NRs. 25,000 Monthly",2026-03-03
Videography Lecturer,IEC School of Analytics,More than 2 years,Mid Level,Not Disclosed,2026-03-03
Public Relation Officer (PRO),River Group,More than 2 years,Mid Level,Not Disclosed,2026-03-04
Content Creator and Storyteller,Sunsar Maya,More than 2 years,Mid Level,Not Disclosed,2026-03-04
Graphic Designer,AltiPro Adventures,More than 1 year,Mid Level,"NRs. 25,000 - 40,000 Monthly",2026-03-04
Branch Head,WorldLink Communications,More than 2 years,Senior Level,Not Disclosed,2026-03-04
Grade Teacher - PG - UKG,EuroKids International,More than 1 year,Mid Level,Not Disclosed,2026-03-04
Executive Assistant,Soaltee Hotel Limited,More than 5 years,Senior Level,Not Disclosed,2026-03-04
Hostess,Horizon Lounge,More than 2 years,Mid Level,Not Disclosed,2026-03-04
Content Writer,RAPA Advisors,More than 2 years,Mid Level,Not Disclosed,2026-03-05
SEO Executive,RAPA Advisors,More than 2 years,Mid Level,Not Disclosed,2026-03-05
Field Officer,Non Profit Organization,Not Required,Entry Level,Not Disclosed,2026-03-05
Front Desk Officer,SD Miracle Educational Consultancy,More than 1 year,Mid Level,"NRs. 25,000 - 30,000 Monthly",2026-03-05
Social Media and Digital Operations Assistant,Aurelia Projects,More than 1 year,Mid Level,"NRs. 50,000 - 70,000 Monthly",2026-03-05
Australian Mortgage Broker Associate,Mortgage Support Solutions,More than 1 year,Mid Level,"NRs. 40,000 - 80,000 Monthly",2026-03-05
English Teacher – Primary Level,Millsberry School,More than 2 years,Mid Level,"NRs. 50,000 Monthly",2026-03-05
"Field Technician (Wind, Solar, Hydro)",Hydroplan,More than 4 years,Mid Level,Not Disclosed,2026-03-05
Data Scientist,Hydroplan,More than 2 years,Mid Level,Not Disclosed,2026-03-05
Accountant - Bookkeeper,Hydroplan,More than 2 years,Mid Level,Not Disclosed,2026-03-05
Environmental and Hydrology Officer,Hydroplan,More than 4 years,Mid Level,Not Disclosed,2026-03-05
PE Teacher - PYP,Premier International School,More than 2 years,Mid Level,Not Disclosed,2026-03-05
Biology Teacher – MYP and DP,Premier International School,More than 3 years,Mid Level,Not Disclosed,2026-03-05
Visual Arts Teacher - MYP,Premier International School,More than 2 years,Mid Level,Not Disclosed,2026-03-05
Music Teacher -PYP,Premier International School,More than or equal to 2 years,Mid Level,Not Disclosed,2026-03-05
Teaching Assistant - ( Nursery to Grade 10 ),Aarambha Sanskar Vidyalaya,More than 1 year,Mid Level,Not Disclosed,2026-03-05
Nurse - B1/B2 German Language,HonesPassion Global,More than 1 year,Entry Level,Not Disclosed,2026-03-05
Music Teacher - PYP,Premier International School,More than 2 years,Mid Level,Not Disclosed,2026-03-05
Study Abroad Counselor,The Metaphor Consultancy - IEC Group,More than 3 years,Mid Level,Not Disclosed,2026-03-05
Secretary and Documentation Officer,Nepal HR Solutions,More than 2 years,Mid Level,Not Disclosed,2026-03-05
Accountant,Nepal HR Solutions,More than 2 years,Mid Level,Not Disclosed,2026-03-05
Sales and Marketing Executive,Orange,More than 1 year,Mid Level,Not Disclosed,2026-03-06
Sales and Counselling Officer,Durbar Apartment,More than 1 year,Mid Level,Not Disclosed,2026-03-06
Job Matching Assistant,Rojgari Services,Equal to 1 year,Entry Level,"NRs. 22,000 Monthly",2026-03-06
Recruitment Executive,Rojgari Services,Equal to 1 year,Entry Level,"NRs. 22,000 Monthly",2026-03-06
Accountant,Future Employment Service,More than 2 years,Mid Level,Not Disclosed,2026-03-06
Virtual Assistant,Wize Media,Not Required,Entry Level,Not Disclosed,2026-03-06
Analyst,Audit Partnership,Not Required,Entry Level,"NRs. 25,000 Monthly",2026-03-06
Sr. CSR / Customer Service Representative,Foodmandu,More than 1 year,Senior Level,Not Disclosed,2026-03-06
Retail Sales Executive,Jasmine Hygiene Products,More than 1 year,Mid Level,Not Disclosed,2026-03-06
Customer Service Representative,Foodmandu,More than 1 year,Entry Level,Not Disclosed,2026-03-06
Accountant,A Five Star Hotel,More than 3 years,Mid Level,"NRs. 50,000 - 100,000 Monthly",2026-03-07
Business Development Officer (Software),CrossOver Nepal,More than 3 years,Mid Level,"NRs. 30,000 - 60,000 Monthly",2026-03-07
Solutions Engineer,Logpoint Nepal,More than 2 years,Mid Level,Not Disclosed,2026-03-07
Strategic Marketing Officer,Professional Holdings Limited (PHL),More than 5 years,Senior Level,Not Disclosed,2026-03-07
Site Administrator,Executive Search- Merojob,More than 3 years,Mid Level,Not Disclosed,2026-03-07
Business Development Executive,Three Sixty Media House,More than 2 years,Mid Level,Not Disclosed,2026-03-07
Roof Innovation Lead - Architect / Engineer,Build up Nepal,More than 5 years,Senior Level,Not Disclosed,2026-03-07
Client Relation Executive,Merojob,Equal to 1 year,Mid Level,"NRs. 22,000 - 25,000 Monthly",2026-03-08
Government Liaison Engineer,Build up Nepal,More than 7 years,Senior Level,Not Disclosed,2026-03-08
Sales Executive,Neoteric Nepal,More than 1 year,Mid Level,Not Disclosed,2026-03-09
Secondary Level Mathematics Teacher,Euro School Hattigauda,More than 2 years,Mid Level,Not Disclosed,2026-03-09
Secondary Level Computer Teacher,Euro School Hattigauda,More than 2 years,Mid Level,Not Disclosed,2026-03-09
MYP Science Teacher,Euro School Hattigauda,More than 2 years,Mid Level,Not Disclosed,2026-03-09
MYP Computer Teacher,Euro School Hattigauda,More than 2 years,Mid Level,Not Disclosed,2026-03-09
MYP Mathematics Teacher,Euro School Hattigauda,More than 2 years,Mid Level,Not Disclosed,2026-03-09
PYP Grade Teacher,Euro School Hattigauda,More than 2 years,Mid Level,Not Disclosed,2026-03-09
PYP Nepali Teacher,Euro School Hattigauda,More than 2 years,Mid Level,Not Disclosed,2026-03-09
Digital Marketing Executive,Himalayan Craft House,More than 1 year,Mid Level,"NRs. 20,000 - 30,000 Monthly",2026-03-09
Assistant Trainee,Sanima Bank,Not Required,Entry Level,Not Disclosed,2026-03-09
Junior Assistant Trainee,Sanima Bank,Not Required,Entry Level,Not Disclosed,2026-03-09
Internal Audit,Sanima Bank,More than 2 years,Mid Level,Not Disclosed,2026-03-09
Security Analyst,Sanima Bank,More than 1 year,Mid Level,Not Disclosed,2026-03-09
Staff Nurse,Dolpo Tomorrow,More than 1 year,Mid Level,"NRs. 30,000 - 40,000 Monthly",2026-03-10
Assistant – Loan and Recovery,MAW Hire Purchase,More than 1 year,Mid Level,Not Disclosed,2026-03-10
Science Teacher,Elite Grand School,More than 3 years,Mid Level,Not Disclosed,2026-03-10
Primary School Teachers,Elite Grand School,More than 3 years,Mid Level,Not Disclosed,2026-03-10
Middle School Teachers,Elite Grand School,More than 3 years,Mid Level,Not Disclosed,2026-03-10
Real Estate Sales Officer,Brihat Group,More than 2 years,Mid Level,Not Disclosed,2026-03-10
Accountant,Himalayan French Cheese,More than 2 years,Mid Level,"NRs. 21,000 - 25,000 Monthly",2026-03-10
Senior Assistant – Sales,National Banking Institute,More than 1 year,Senior Level,Not Disclosed,2026-03-10
Data Analyst,Abacus Insights,More than 3 years,Mid Level,Not Disclosed,2026-03-10
Marketing Executive,Plumber Pipes,More than 2 years,Mid Level,"NRs. 45,000 Monthly",2026-03-10
Grade Teacher,Balmiki International School,More than 1 year,Mid Level,Not Disclosed,2026-03-11
Mathematics Teacher - Secondary level,Balmiki International School,More than 2 years,Mid Level,Not Disclosed,2026-03-11
Science Teacher - Secondary Level,Balmiki International School,More than 3 years,Mid Level,Not Disclosed,2026-03-11
Nepali Teacher - Primary Level,Balmiki International School,More than 2 years,Mid Level,Not Disclosed,2026-03-11
Nepali Teacher - Secondary Level,Balmiki International School,More than 2 years,Mid Level,Not Disclosed,2026-03-11
Mathematics Teacher - Lower Secondary,Balmiki International School,More than 3 years,Mid Level,Not Disclosed,2026-03-11
School Nurse,Balmiki International School,More than 1 year,Mid Level,Not Disclosed,2026-03-11
School Librarian,Balmiki International School,More than 1 year,Mid Level,Not Disclosed,2026-03-11
Receptionist,Balmiki International School,More than 1 year,Mid Level,Not Disclosed,2026-03-11
Sound Engineer,Story Company,More than 3 years,Mid Level,Not Disclosed,2026-03-11
EdTech Sales Executive,EdTech Trading Company,More than 1 year,Entry Level,"NRs. 25,000 - 40,000 Monthly",2026-03-11
Australia Counselor,An Educational Consultancy,More than 2 years,Mid Level,"NRs. 25,000 - 75,000 Monthly",2026-03-11
Manga Video Editor and Post-Production,China Beijing Lubu Art Investment Consultating,More than 1 year,Mid Level,"NRs. 40,000 - 50,000 Monthly",2026-03-11
Manga Video Editor and Post-Production,China Beijing Lubu Art Investment Consultant,More than 1 year,Mid Level,"NRs. 40,000 - 50,000 Monthly",2026-03-11
Mathematics Teacher – Primary Level,Millsberry School,More than 2 years,Mid Level,"NRs. 50,000 Monthly",2026-03-12
Assistant Manager - QEHS,Asian Paints (Nepal),More than 3 years,Mid Level,Not Disclosed,2026-03-12
Agency Support Executive,Sabre Travel Network Nepal,Not Required,Entry Level,Not Disclosed,2026-03-12
Sales Executive,Sabre Travel Network Nepal,More than 2 years,Mid Level,Not Disclosed,2026-03-12
QA Engineer (IoT & Embedded Systems),Nepal Digital Systems,More than 3 years,Senior Level,Not Disclosed,2026-03-12
Lua Developer / Software Engineer (Control4 Driver Development),Nepal Digital Systems,More than 3 years,Senior Level,Not Disclosed,2026-03-12
Production Assistant,Safa Tarkari,Not Required,Entry Level,Not Disclosed,2026-03-12
Sales Account Manager,Felt and Yarn,More than 1 year,Mid Level,"NRs. 30,000 Monthly",2026-03-12
Sales Executive,Career Publishers and Distributors (Hamro Pustak),More than 2 years,Mid Level,Not Disclosed,2026-03-13
Engineering Manager,Soaltee Westend Lakeside Pokhara,More than 3 years,Mid Level,"NRs. 70,000 - 85,000 Monthly",2026-03-13
Malware Analyst,Simjung,More than 1 year,Mid Level,Not Disclosed,2026-03-13
Manager – National Training Centre Kavre,SOS Children's Villages Nepal,More than 5 years,Senior Level,Not Disclosed,2026-03-13
Principal,SOS Children's Villages Nepal,More than 7 years,Senior Level,Not Disclosed,2026-03-13
Videography Lecturer,IEC School of Analytics,More than 2 years,Mid Level,Not Disclosed,2026-03-13
Study Abroad Counselor,The Metaphor Consultancy - IEC Group,More than 3 years,Mid Level,Not Disclosed,2026-03-13
Marketing Associate,Merojob,More than 1 year,Entry Level,"NRs. 22,000 - 28,000 Monthly",2026-03-14
Content Writer,Merojob,Less than 1 year,Entry Level,"NRs. 22,000 Monthly",2026-03-14
Senior Quality Control (QC) Manager,Khangri Sourcing USA,More than 8 years,Senior Level,Not Disclosed,2026-03-16
Senior Chemical Engineer – Refinery Operations,Precious Waste Refinery,More than 5 years,Senior Level,Not Disclosed,2026-03-16
Executive Secretary,Brihat Group,More than 2 years,Mid Level,Not Disclosed,2026-03-16
