Post,Company,Experience,Level,Salary,Deadline
IT Officer,Liberty College,More than 2 years,Mid Level,Not Disclosed,2025-12-25
Admission Officer (UK and Australia),Graduate Studio Counselling Center,More than 1 year,Mid Level,Not Disclosed,2025-12-26
Education Counselor,Vivid Education,More than 1 year,Mid Level,"NRs. 325,000 - 750,000 Yearly",2025-12-26
Sales Executive,Aircon Nepal,More than 1 year,Mid Level,Not Disclosed,2025-12-26
Sales Executive,Nepal Petro Lube Industries,Equal to 1 year,Entry Level,Not Disclosed,2025-12-26
Social Media Handler,Discovery World Trekking,More than 2 years,Mid Level,Not Disclosed,2025-12-26
Manager,Himal Store,More than 2 years,Mid Level,"NRs. 30,000 Monthly",2025-12-26
GS Admissions Officer,Study Info Centre,More than 1 year,Mid Level,Not Disclosed,2025-12-26
Senior Accountants,Kathmandu Commerce & Trade (Bravo),More than 2 years,Senior Level,Not Disclosed,2025-12-27
Marketing Representative,Siddhartha Hardwares,More than 2 years,Mid Level,Not Disclosed,2025-12-27
Education Counselor,Click Consulting Group,More than 2 years,Mid Level,"NRs. 70,000 - 120,000 Monthly",2025-12-27
Market Representative,Kathmandu Commerce & Trade (Bravo),More than 1 year,Mid Level,Not Disclosed,2025-12-27
HR Executive,Millsberry School,More than 5 years,Senior Level,Not Disclosed,2025-12-27
Marketing Executive,Siddhartha Hardware and Suppliers,More than 2 years,Mid Level,Not Disclosed,2025-12-27
Business Development Officer,Campus Transfer,More than 2 years,Mid Level,"NRs. 25,000 - 50,000 Monthly",2025-12-27
Nurse,Bhurtel Law Services,More than 1 year,Mid Level,Not Disclosed,2025-12-27
Retail Salesperson,JJ Marble,More than 1 year,Mid Level,"NRs. 25,000 Monthly",2025-12-29
FLM Coordinator,ZTE Nepal,More than 8 years,Senior Level,Not Disclosed,2025-12-30
Logistic Coordinator / Spare Parts Coordinator,ZTE Nepal,More than 5 years,Senior Level,Not Disclosed,2025-12-30
Sales Executive (For UK),Same Day Courier,Not Required,Entry Level,"NRs. 100,000 - 120,000 Monthly",2025-12-30
Front Desk Associate,Gurukul Commerce Academy,Less than 1 year,Entry Level,Not Disclosed,2025-12-30
Assistant / Officer,Himalayan Everest Insurance,More than 1 year,Mid Level,Not Disclosed,2025-12-30
HR Officer,Executive Search- Merojob,More than 3 years,Mid Level,"NRs. 35,000 - 40,000 Monthly",2025-12-30
Electrician,WorldLink Communications,More than 1 year,Entry Level,Not Disclosed,2025-12-31
Sales Executive,Kama Jewels,More than 1 year,Mid Level,"NRs. 30,000 Monthly",2025-12-31
Education Counselor,TWGG,More than 1 year,Mid Level,Not Disclosed,2025-12-31
IELTS / PTE Instructor,TWGG,More than 2 years,Mid Level,Not Disclosed,2025-12-31
Office Secretary,TWGG,More than 2 years,Mid Level,Not Disclosed,2025-12-31
Inventory Assistant,East West Concern,Less than 1 year,Entry Level,"NRs. 22,000 - 25,000 Monthly",2025-12-31
Study Abroad Counselor,The Metaphor Consultancy - IEC Group,More than 5 years,Senior Level,Not Disclosed,2025-12-31
Accountant,Ram Vicky Trade Concern,More than 1 year,Mid Level,"NRs. 25,000 - 30,000 Monthly",2025-12-31
Accountant,JJ Marble,More than 2 years,Mid Level,"NRs. 25,000 Monthly",2025-12-31
IT Officer,Liberty College,More than 2 years,Mid Level,Not Disclosed,2025-12-31
